a,b,h1,h2,h3,o,t,delta_h1,delta_h2,delta_h3,delta_o,w_bias_h1,w_a_h1,w_b_h1,w_bias_h2,w_a_h2,w_b_h2,w_bias_h3,w_a_h3,w_b_h3,w_bias_o,w_h1_o,w_h2_o,w_h3_o
   3.16929,   4.83552,   0.76421,   0.06094,   0.82019,   0.42181,   0.00000,  -0.00175,  -0.00190,   0.00607,  -0.10287,   0.20150,  -0.30158,   0.39668,  -0.49562,  -0.10106,  -0.39957,   0.29694,   0.20781,   0.12487,  -0.09962,   0.07857,   0.32076,  -0.41678
   3.97185,   2.68879,   0.51756,   0.12224,   0.81124,   0.41148,   0.00000,  -0.00195,  -0.00343,   0.00636,  -0.09965,   0.20110,  -0.30313,   0.39563,  -0.49631,  -0.10379,  -0.40142,   0.29821,   0.21286,   0.12829,  -0.11954,   0.06826,   0.31832,  -0.43295
   1.64756,   0.32488,   0.45765,   0.31051,   0.66610,   0.43098,   1.00000,   0.00236,   0.00951,  -0.01344,   0.13954,   0.20158,  -0.30235,   0.39578,  -0.49440,  -0.10065,  -0.40080,   0.29552,   0.20844,   0.12742,  -0.09164,   0.08103,   0.32699,  -0.41436
   2.76470,   1.17426,   0.45770,   0.22386,   0.73525,   0.42898,   1.00000,   0.00281,   0.00795,  -0.01128,   0.13987,   0.20214,  -0.30080,   0.39644,  -0.49281,  -0.09626,  -0.39893,   0.29327,   0.20220,   0.12477,  -0.06366,   0.09384,   0.33325,  -0.39379
   0.48209,   2.14067,   0.71214,   0.19890,   0.65877,   0.45265,   1.00000,   0.00261,   0.00720,  -0.01200,   0.13561,   0.20266,  -0.30055,   0.39756,  -0.49137,  -0.09557,  -0.39585,   0.29087,   0.20104,   0.11963,  -0.03654,   0.11315,   0.33865,  -0.37592
   1.62966,   0.91379,   0.51903,   0.26721,   0.67432,   0.46485,   1.00000,   0.00376,   0.00883,  -0.01099,   0.13313,   0.20341,  -0.29932,   0.39825,  -0.48961,  -0.09269,  -0.39424,   0.28867,   0.19746,   0.11762,  -0.00991,   0.12697,   0.34576,  -0.35797
   1.44270,   0.85683,   0.52817,   0.27665,   0.66247,   0.47893,   1.00000,   0.00411,   0.00900,  -0.01041,   0.13004,   0.20424,  -0.29813,   0.39895,  -0.48781,  -0.09009,  -0.39269,   0.28659,   0.19446,   0.11584,   0.01609,   0.14071,   0.35296,  -0.34074
   0.43897,   1.14590,   0.62961,   0.27342,   0.62356,   0.49718,   1.00000,   0.00412,   0.00881,  -0.01005,   0.12570,   0.20506,  -0.29777,   0.39990,  -0.48605,  -0.08932,  -0.39067,   0.28458,   0.19357,   0.11353,   0.04123,   0.15653,   0.35983,  -0.32506
   6.63352,   2.37786,   0.30591,   0.11842,   0.86278,   0.46289,   0.00000,  -0.00383,  -0.00432,   0.00443,  -0.11508,   0.20430,  -0.30285,   0.39808,  -0.48691,  -0.09505,  -0.39273,   0.28546,   0.19945,   0.11564,   0.01822,   0.14949,   0.35710,  -0.34492
   0.31212,   0.70710,   0.59658,   0.31125,   0.60575,   0.50240,   1.00000,   0.00448,   0.00952,  -0.01025,   0.12440,   0.20519,  -0.30257,   0.39871,  -0.48501,  -0.09446,  -0.39138,   0.28341,   0.19881,   0.11419,   0.04310,   0.16434,   0.36485,  -0.32985
   6.01153,   2.97907,   0.39510,   0.09807,   0.86041,   0.46506,   0.00000,  -0.00454,  -0.00373,   0.00458,  -0.11570,   0.20428,  -0.30803,   0.39601,  -0.48575,  -0.09895,  -0.39361,   0.28433,   0.20432,   0.11692,   0.01996,   0.15519,   0.36258,  -0.34976
  10.39342,   2.79854,   0.13136,   0.06813,   0.93907,   0.43453,   0.00000,  -0.00189,  -0.00246,   0.00214,  -0.10677,   0.20390,  -0.31196,   0.39495,  -0.48625,  -0.10406,  -0.39498,   0.28476,   0.20876,   0.11812,  -0.00140,   0.15239,   0.36112,  -0.36981
   6.19829,   3.28478,   0.39355,   0.08101,   0.87726,   0.44113,   0.00000,  -0.00396,  -0.00292,   0.00433,  -0.10875,   0.20311,  -0.31686,   0.39235,  -0.48683,  -0.10768,  -0.39690,   0.28562,   0.21413,   0.12096,  -0.02315,   0.14383,   0.35936,  -0.38889
   1.47423,   4.16032,   0.79710,   0.09139,   0.75111,   0.45816,   0.00000,  -0.00265,  -0.00339,   0.00827,  -0.11374,   0.20258,  -0.31764,   0.39015,  -0.48751,  -0.10868,  -0.39973,   0.28728,   0.21657,   0.12784,  -0.04589,   0.12570,   0.35728,  -0.40598
   7.37896,   4.07317,   0.36536,   0.05129,   0.91729,   0.41240,   0.00000,  -0.00291,  -0.00174,   0.00308,  -0.09994,   0.20200,  -0.32194,   0.38777,  -0.48786,  -0.11125,  -0.40114,   0.28789,   0.22111,   0.13035,  -0.06588,   0.11839,   0.35626,  -0.42431
   3.05253,   1.76101,   0.47555,   0.17743,   0.76717,   0.43244,   0.00000,  -0.00313,  -0.00552,   0.00804,  -0.10614,   0.20137,  -0.32386,   0.38667,  -0.48896,  -0.11462,  -0.40309,   0.28950,   0.22602,   0.13318,  -0.08711,   0.10830,   0.35249,  -0.44060
   7.25669,   2.97071,   0.26893,   0.07460,   0.91095,   0.39340,   0.00000,  -0.00200,  -0.00228,   0.00336,  -0.09388,   0.20098,  -0.32676,   0.38548,  -0.48942,  -0.11793,  -0.40444,   0.29017,   0.23089,   0.13518,  -0.10589,   0.10325,   0.35109,  -0.45770
   0.36363,   1.19260,   0.63225,   0.26607,   0.63073,   0.44130,   1.00000,   0.00331,   0.00944,  -0.01468,   0.13775,   0.20164,  -0.32652,   0.38627,  -0.48753,  -0.11725,  -0.40219,   0.28723,   0.22982,   0.13167,  -0.07834,   0.12067,   0.35842,  -0.44032
  -0.97257,   1.46884,   0.74774,   0.27603,   0.56393,   0.46568,   1.00000,   0.00303,   0.00952,  -0.01440,   0.13295,   0.20224,  -0.32711,   0.38716,  -0.48562,  -0.11910,  -0.39939,   0.28436,   0.23262,   0.12745,  -0.05175,   0.14055,   0.36576,  -0.42533
   2.77815,   4.71229,   0.75360,   0.06306,   0.82218,   0.43230,   0.00000,  -0.00277,  -0.00229,   0.00660,  -0.10609,   0.20169,  -0.32864,   0.38455,  -0.48608,  -0.12037,  -0.40156,   0.28567,   0.23629,   0.13366,  -0.07296,   0.12456,   0.36442,  -0.44277
   2.17019,   1.52048,   0.51828,   0.20459,   0.73139,   0.43593,   1.00000,   0.00431,   0.00823,  -0.01207,   0.13870,   0.20255,  -0.32677,   0.38586,  -0.48444,  -0.11680,  -0.39905,   0.28326,   0.23105,   0.12999,  -0.04522,   0.13894,   0.37010,  -0.42249
   1.83367,   1.02821,   0.50003,   0.24807,   0.69859,   0.45535,   1.00000,   0.00469,   0.00933,  -0.01202,   0.13508,   0.20349,  -0.32505,   0.38683,  -0.48257,  -0.11338,  -0.39714,   0.28086,   0.22665,   0.12752,  -0.01821,   0.15245,   0.37680,  -0.40361
  -1.93457,   3.83344,   0.91013,   0.14361,   0.58206,   0.48493,   0.00000,  -0.00151,  -0.00561,   0.01189,  -0.12112,   0.20319,  -0.32447,   0.38567,  -0.48369,  -0.11121,  -0.40144,   0.28324,   0.22204,   0.13664,  -0.04243,   0.13040,   0.37332,  -0.41771
  -0.91666,   0.36808,   0.65533,   0.37063,   0.53245,   0.48974,   1.00000,   0.00376,   0.01110,  -0.01326,   0.12751,   0.20394,  -0.32516,   0.38595,  -0.48147,  -0.11325,  -0.40062,   0.28058,   0.22448,   0.13566,  -0.01693,   0.14711,   0.38277,  -0.40413
   0.86872,   1.07876,   0.58366,   0.26658,   0.65066,   0.47702,   1.00000,   0.00466,   0.00976,  -0.01198,   0.13047,   0.20487,  -0.32435,   0.38695,  -0.47952,  -0.11155,  -0.39852,   0.27819,   0.22239,   0.13308,   0.00916,   0.16234,   0.38973,  -0.38716
  -0.59679,   1.23879,   0.70636,   0.28769,   0.57696,   0.50314,   1.00000,   0.00418,   0.00992,  -0.01174,   0.12421,   0.20571,  -0.32484,   0.38799,  -0.47754,  -0.11273,  -0.39606,   0.27584,   0.22379,   0.13017,   0.03400,   0.17989,   0.39687,  -0.37282
   0.66775,   1.43593,   0.63319,   0.24573,   0.64844,   0.50092,   1.00000,   0.00521,   0.00918,  -0.01060,   0.12477,   0.20675,  -0.32415,   0.38949,  -0.47570,  -0.11151,  -0.39342,   0.27372,   0.22238,   0.12713,   0.05896,   0.19569,   0.40301,  -0.35664
   1.96035,   0.78315,   0.46912,   0.26847,   0.69194,   0.50304,   1.00000,   0.00605,   0.00983,  -0.00944,   0.12423,   0.20796,  -0.32177,   0.39043,  -0.47373,  -0.10765,  -0.39188,   0.27183,   0.21867,   0.12565,   0.08381,   0.20734,   0.40968,  -0.33945
  -0.18935,   1.00827,   0.65983,   0.29975,   0.58834,   0.53587,   1.00000,   0.00537,   0.00993,  -0.00949,   0.11544,   0.20904,  -0.32198,   0.39152,  -0.47175,  -0.10803,  -0.38988,   0.26993,   0.21903,   0.12373,   0.10689,   0.22258,   0.41660,  -0.32587
   1.87976,   0.74732,   0.47412,   0.27564,   0.68441,   0.52603,   1.00000,   0.00656,   0.00983,  -0.00832,   0.11817,   0.21035,  -0.31951,   0.39250,  -0.46978,  -0.10433,  -0.38841,   0.26827,   0.21591,   0.12249,   0.13053,   0.23378,   0.42311,  -0.30969
   1.37848,   0.76902,   0.51793,   0.28653,   0.65928,   0.54207,   1.00000,   0.00664,   0.00983,  -0.00791,   0.11367,   0.21167,  -0.31768,   0.39352,  -0.46782,  -0.10162,  -0.38690,   0.26669,   0.21373,   0.12127,   0.15326,   0.24556,   0.42963,  -0.29470
   1.39415,  -0.13675,   0.42922,   0.36434,   0.63369,   0.55686,   1.00000,   0.00658,   0.01088,  -0.00748,   0.10935,   0.21299,  -0.31585,   0.39334,  -0.46564,  -0.09859,  -0.38720,   0.26519,   0.21164,   0.12148,   0.17513,   0.25494,   0.43759,  -0.28084
   0.74695,   1.25124,   0.61520,   0.26430,   0.63998,   0.56658,   1.00000,   0.00642,   0.00906,  -0.00689,   0.10643,   0.21427,  -0.31489,   0.39495,  -0.46383,  -0.09724,  -0.38493,   0.26381,   0.21061,   0.11975,   0.19642,   0.26804,   0.44322,  -0.26722
   5.04298,   6.43809,   0.76296,   0.03130,   0.89060,   0.54409,   0.00000,  -0.00654,  -0.00181,   0.00351,  -0.13496,   0.21297,  -0.32149,   0.38652,  -0.46419,  -0.09906,  -0.38727,   0.26452,   0.21416,   0.12428,   0.16943,   0.24745,   0.44238,  -0.29126
   1.12665,   0.07832,   0.47029,   0.35294,   0.62610,   0.56453,   1.00000,   0.00660,   0.01082,  -0.00730,   0.10705,   0.21429,  -0.32000,   0.38663,  -0.46203,  -0.09663,  -0.38710,   0.26306,   0.21251,   0.12416,   0.19084,   0.25752,   0.44993,  -0.27786
   5.44914,   6.27668,   0.71039,   0.03173,   0.90029,   0.53442,   0.00000,  -0.00704,  -0.00184,   0.00332,  -0.13297,   0.21288,  -0.32768,   0.37778,  -0.46240,  -0.09863,  -0.38940,   0.26372,   0.21613,   0.12833,   0.16424,   0.23862,   0.44909,  -0.30180
   5.87373,   4.53986,   0.50081,   0.05681,   0.89243,   0.50998,   0.00000,  -0.00760,  -0.00307,   0.00369,  -0.12744,   0.21136,  -0.33661,   0.37088,  -0.46301,  -0.10223,  -0.39219,   0.26446,   0.22046,   0.13168,   0.13875,   0.22586,   0.44764,  -0.32454
   5.07861,   2.04217,   0.32284,   0.14392,   0.83930,   0.50093,   0.00000,  -0.00618,  -0.00691,   0.00548,  -0.12523,   0.21012,  -0.34289,   0.36835,  -0.46439,  -0.10925,  -0.39501,   0.26556,   0.22603,   0.13392,   0.11371,   0.21777,   0.44404,  -0.34557
   1.42567,   0.87343,   0.51075,   0.27585,   0.66924,   0.52901,   1.00000,   0.00639,   0.01041,  -0.00898,   0.11735,   0.21140,  -0.34107,   0.36947,  -0.46231,  -0.10628,  -0.39319,   0.26376,   0.22347,   0.13235,   0.13718,   0.22976,   0.45051,  -0.32986
   1.91427,   2.82801,   0.64642,   0.14459,   0.74380,   0.52635,   0.00000,  -0.00689,  -0.00731,   0.00825,  -0.13122,   0.21002,  -0.34371,   0.36557,  -0.46377,  -0.10908,  -0.39733,   0.26541,   0.22663,   0.13702,   0.11093,   0.21279,   0.44672,  -0.34938
   1.30569,   2.11324,   0.63036,   0.19064,   0.70075,   0.52134,   1.00000,   0.00592,   0.00823,  -0.00875,   0.11945,   0.21120,  -0.34216,   0.36807,  -0.46213,  -0.10693,  -0.39385,   0.26366,   0.22435,   0.13332,   0.13482,   0.22785,   0.45127,  -0.33264
   1.85248,   1.97602,   0.57559,   0.19178,   0.71964,   0.52825,   1.00000,   0.00654,   0.00822,  -0.00789,   0.11756,   0.21251,  -0.33974,   0.37066,  -0.46048,  -0.10388,  -0.39060,   0.26208,   0.22142,   0.13020,   0.15833,   0.24139,   0.45578,  -0.31572
   5.38217,   6.61245,   0.69740,   0.02653,   0.91009,   0.51286,   0.00000,  -0.00653,  -0.00151,   0.00331,  -0.12813,   0.21121,  -0.34676,   0.36203,  -0.46078,  -0.10551,  -0.39259,   0.26274,   0.22499,   0.13458,   0.13271,   0.22352,   0.45510,  -0.33904
   4.27213,   2.66637,   0.42436,   0.12365,   0.82959,   0.50064,   0.00000,  -0.00683,  -0.00617,   0.00600,  -0.12516,   0.20984,  -0.35260,   0.35838,  -0.46202,  -0.11078,  -0.39588,   0.26394,   0.23011,   0.13778,   0.10768,   0.21289,   0.45200,  -0.35981
   1.87559,   3.45278,   0.68696,   0.11540,   0.76337,   0.50785,   0.00000,  -0.00581,  -0.00586,   0.00825,  -0.12693,   0.20868,  -0.35478,   0.35437,  -0.46319,  -0.11298,  -0.39993,   0.26559,   0.23321,   0.14347,   0.08229,   0.19545,   0.44907,  -0.37919
   4.66808,   2.81792,   0.38963,   0.10740,   0.85302,   0.47084,   0.00000,  -0.00545,  -0.00505,   0.00558,  -0.11731,   0.20759,  -0.35987,   0.35130,  -0.46420,  -0.11769,  -0.40277,   0.26671,   0.23841,   0.14662,   0.05883,   0.18631,   0.44655,  -0.39920
   1.34894,   1.33143,   0.54732,   0.23881,   0.68644,   0.49835,   1.00000,   0.00579,   0.01018,  -0.01078,   0.12541,   0.20874,  -0.35831,   0.35284,  -0.46216,  -0.11495,  -0.40006,   0.26455,   0.23550,   0.14375,   0.08391,   0.20004,   0.45254,  -0.38198
   4.48494,   9.05511,   0.85775,   0.00995,   0.93229,   0.47599,   0.00000,  -0.00290,  -0.00053,   0.00286,  -0.11872,   0.20817,  -0.36091,   0.34759,  -0.46227,  -0.11542,  -0.40102,   0.26513,   0.23807,   0.14893,   0.06017,   0.17967,   0.45231,  -0.40412
   1.37848,   0.76902,   0.49449,   0.28297,   0.66992,   0.50157,   1.00000,   0.00560,   0.01144,  -0.01114,   0.12461,   0.20928,  -0.35937,   0.34845,  -0.45998,  -0.11227,  -0.39926,   0.26290,   0.23500,   0.14722,   0.08509,   0.19200,   0.45936,  -0.38742
   1.29753,   0.92518,   0.51634,   0.27388,   0.66908,   0.51270,   1.00000,   0.00584,   0.01112,  -0.01044,   0.12175,   0.21045,  -0.35785,   0.34953,  -0.45776,  -0.10938,  -0.39720,   0.26081,   0.23229,   0.14529,   0.10944,   0.20457,   0.46603,  -0.37113
   7.40701,   3.19405,   0.21020,   0.07333,   0.92023,   0.46135,   0.00000,  -0.00389,  -0.00363,   0.00312,  -0.11465,   0.20967,  -0.36362,   0.34705,  -0.45848,  -0.11476,  -0.39952,   0.26143,   0.23692,   0.14728,   0.08651,   0.19975,   0.46435,  -0.39223
   0.09605,   1.63866,   0.67775,   0.24523,   0.62844,   0.52230,   1.00000,   0.00520,   0.01024,  -0.01092,   0.11919,   0.21071,  -0.36352,   0.34875,  -0.45643,  -0.11456,  -0.39617,   0.25925,   0.23671,   0.14370,   0.11034,   0.21590,   0.47019,  -0.37725
   0.78873,   0.15857,   0.49482,   0.35215,   0.61509,   0.53761,   1.00000,   0.00620,   0.01233,  -0.01027,   0.11494,   0.21195,  -0.36254,   0.34895,  -0.45397,  -0.11262,  -0.39578,   0.25720,   0.23509,   0.14338,   0.13333,   0.22728,   0.47829,  -0.36311
   3.56500,  -1.11383,   0.18707,   0.39780,   0.71821,   0.52631,   1.00000,   0.00408,   0.01353,  -0.00868,   0.11810,   0.21277,  -0.35963,   0.34804,  -0.45126,  -0.10297,  -0.39879,   0.25546,   0.22890,   0.14531,   0.15695,   0.23170,   0.48768,  -0.34615
   0.88701,   3.31869,   0.74054,   0.13400,   0.71925,   0.53617,   1.00000,   0.00514,   0.00653,  -0.00806,   0.11535,   0.21380,  -0.35872,   0.35145,  -0.44996,  -0.10181,  -0.39446,   0.25385,   0.22747,   0.13996,   0.18002,   0.24878,   0.49078,  -0.32956
   8.48789,   3.71364,   0.17860,   0.05847,   0.93728,   0.48607,   0.00000,  -0.00443,  -0.00328,   0.00235,  -0.12142,   0.21291,  -0.36624,   0.34815,  -0.45061,  -0.10738,  -0.39689,   0.25432,   0.23147,   0.14171,   0.15574,   0.24445,   0.48936,  -0.35232
   5.28102,   6.27511,   0.61384,   0.02908,   0.91419,   0.49948,   0.00000,  -0.00724,  -0.00173,   0.00345,  -0.12487,   0.21146,  -0.37389,   0.33907,  -0.45096,  -0.10920,  -0.39906,   0.25501,   0.23511,   0.14604,   0.13076,   0.22912,   0.48863,  -0.37515
   5.44311,   4.62648,   0.43661,   0.05257,   0.90118,   0.47961,   0.00000,  -0.00675,  -0.00291,   0.00400,  -0.11970,   0.21011,  -0.38123,   0.33283,  -0.45154,  -0.11238,  -0.40175,   0.25581,   0.23946,   0.14974,   0.10682,   0.21866,   0.48737,  -0.39672
   1.75366,   3.91749,   0.69961,   0.09775,   0.77943,   0.49956,   0.00000,  -0.00574,  -0.00537,   0.00852,  -0.12489,   0.20897,  -0.38324,   0.32833,  -0.45261,  -0.11426,  -0.40596,   0.25751,   0.24245,   0.15641,   0.08185,   0.20119,   0.48493,  -0.41619
   1.38423,   1.08888,   0.50900,   0.25868,   0.68210,   0.50645,   1.00000,   0.00620,   0.01147,  -0.01113,   0.12337,   0.21021,  -0.38153,   0.32968,  -0.45032,  -0.11108,  -0.40346,   0.25529,   0.23937,   0.15399,   0.10652,   0.21375,   0.49131,  -0.39936
   0.79770,   1.29520,   0.58246,   0.25702,   0.65604,   0.52381,   1.00000,   0.00617,   0.01114,  -0.01070,   0.11878,   0.21144,  -0.38054,   0.33128,  -0.44809,  -0.10930,  -0.40058,   0.25315,   0.23766,   0.15122,   0.13027,   0.22758,   0.49742,  -0.38378
   3.14635,   3.93959,   0.57914,   0.08548,   0.83155,   0.49637,   0.00000,  -0.00688,  -0.00483,   0.00667,  -0.12409,   0.21007,  -0.38487,   0.32586,  -0.44906,  -0.11234,  -0.40438,   0.25448,   0.24186,   0.15647,   0.10546,   0.21321,   0.49530,  -0.40441
   0.87647,  -1.65650,   0.33916,   0.53055,   0.55163,   0.55415,   1.00000,   0.00526,   0.01359,  -0.01102,   0.11015,   0.21112,  -0.38395,   0.32412,  -0.44634,  -0.10996,  -0.40888,   0.25228,   0.23993,   0.16012,   0.12749,   0.22068,   0.50699,  -0.39226
  -0.19575,   0.89656,   0.64035,   0.31187,   0.58634,   0.54907,   1.00000,   0.00567,   0.01215,  -0.01062,   0.11165,   0.21225,  -0.38417,   0.32513,  -0.44391,  -0.11043,  -0.40670,   0.25015,   0.24034,   0.15822,   0.14982,   0.23498,   0.51395,  -0.37917
   6.76845,   3.62249,   0.22967,   0.06509,   0.92056,   0.47208,   0.00000,  -0.00489,  -0.00368,   0.00326,  -0.11765,   0.21128,  -0.39079,   0.32159,  -0.44464,  -0.11542,  -0.40937,   0.25081,   0.24476,   0.16058,   0.12629,   0.22958,   0.51242,  -0.40083
  -2.82038,   6.87864,   0.97141,   0.05045,   0.66040,   0.52758,   0.00000,  -0.00084,  -0.00323,   0.01182,  -0.13149,   0.21111,  -0.39032,   0.32044,  -0.44529,  -0.11360,  -0.41381,   0.25317,   0.23809,   0.17684,   0.09999,   0.20403,   0.51109,  -0.41820
   5.57455,   2.53360,   0.23996,   0.10650,   0.88375,   0.45854,   0.00000,  -0.00424,  -0.00554,   0.00489,  -0.11385,   0.21026,  -0.39504,   0.31829,  -0.44640,  -0.11977,  -0.41661,   0.25415,   0.24355,   0.17932,   0.07722,   0.19857,   0.50867,  -0.43832
   3.73152,   5.13502,   0.59160,   0.04597,   0.88931,   0.45717,   0.00000,  -0.00544,  -0.00253,   0.00490,  -0.11345,   0.20917,  -0.39910,   0.31270,  -0.44690,  -0.12166,  -0.41921,   0.25513,   0.24720,   0.18435,   0.05453,   0.18514,   0.50762,  -0.45850
   6.18717,   2.36013,   0.17915,   0.10074,   0.90200,   0.43175,   0.00000,  -0.00288,  -0.00487,   0.00429,  -0.10593,   0.20859,  -0.40267,   0.31134,  -0.44788,  -0.12769,  -0.42151,   0.25599,   0.25251,   0.18637,   0.03334,   0.18135,   0.50549,  -0.47761
   0.61105,  -0.18573,   0.47620,   0.38993,   0.59283,   0.50842,   1.00000,   0.00556,   0.01477,  -0.01416,   0.12286,   0.20971,  -0.40199,   0.31113,  -0.44492,  -0.12588,  -0.42206,   0.25315,   0.25078,   0.18690,   0.05791,   0.19305,   0.51507,  -0.46304
   1.32184,   4.77777,   0.76221,   0.06737,   0.81421,   0.46574,   0.00000,  -0.00405,  -0.00375,   0.00812,  -0.11589,   0.20890,  -0.40307,   0.30726,  -0.44567,  -0.12687,  -0.42564,   0.25478,   0.25293,   0.19466,   0.03474,   0.17538,   0.51351,  -0.48191
   0.91236,   1.03297,   0.53955,   0.26872,   0.66521,   0.48670,   1.00000,   0.00559,   0.01294,  -0.01376,   0.12823,   0.21001,  -0.40205,   0.30841,  -0.44308,  -0.12451,  -0.42297,   0.25202,   0.25041,   0.19181,   0.06038,   0.18922,   0.52040,  -0.46485
   1.07792,   0.86175,   0.51060,   0.28054,   0.66535,   0.49843,   1.00000,   0.00593,   0.01317,  -0.01298,   0.12539,   0.21120,  -0.40077,   0.30943,  -0.44045,  -0.12167,  -0.42070,   0.24943,   0.24762,   0.18958,   0.08546,   0.20203,   0.52744,  -0.44817
   2.21509,  -0.63813,   0.29442,   0.39138,   0.66306,   0.51355,   1.00000,   0.00510,   0.01527,  -0.01217,   0.12152,   0.21222,  -0.39851,   0.30878,  -0.43740,  -0.11491,  -0.42265,   0.24699,   0.24223,   0.19113,   0.10977,   0.20918,   0.53695,  -0.43205
   2.78007,  -0.23641,   0.27515,   0.34143,   0.70583,   0.51142,   1.00000,   0.00509,   0.01474,  -0.01095,   0.12208,   0.21324,  -0.39568,   0.30854,  -0.43445,  -0.10671,  -0.42335,   0.24480,   0.23614,   0.19165,   0.13418,   0.21590,   0.54528,  -0.41482
   2.98642,   1.66376,   0.38815,   0.18885,   0.78055,   0.49929,   0.00000,  -0.00640,  -0.01043,   0.00887,  -0.12482,   0.21196,  -0.39950,   0.30641,  -0.43653,  -0.11294,  -0.42682,   0.24658,   0.24143,   0.19460,   0.10922,   0.20621,   0.54057,  -0.43430
   7.63880,   6.08188,   0.27365,   0.01994,   0.96354,   0.43978,   0.00000,  -0.00444,  -0.00114,   0.00165,  -0.10835,   0.21107,  -0.40628,   0.30101,  -0.43676,  -0.11469,  -0.42821,   0.24691,   0.24396,   0.19661,   0.08755,   0.20028,   0.54014,  -0.45518
   5.58061,   1.80971,   0.18072,   0.13567,   0.87698,   0.44963,   0.00000,  -0.00330,  -0.00705,   0.00546,  -0.11127,   0.21041,  -0.40997,   0.29982,  -0.43817,  -0.12255,  -0.43076,   0.24800,   0.25006,   0.19859,   0.06530,   0.19626,   0.53712,  -0.47470
   1.33937,   2.33560,   0.58942,   0.16681,   0.74015,   0.47982,   1.00000,   0.00617,   0.00969,  -0.01185,   0.12983,   0.21164,  -0.40831,   0.30270,  -0.43623,  -0.11996,  -0.42623,   0.24563,   0.24688,   0.19305,   0.09126,   0.21156,   0.54145,  -0.45548
